number;value;params_componentes_finais;params_componentes_pre;params_janela_nm;params_limiar_spearman;params_limiar_vip;state
301;0.5626438607436121;3;8;26;0.675915916239284;0.9581948316433919;COMPLETE
302;0.33185326712327956;5;8;24;0.6975247041229931;0.5885977481911538;COMPLETE
303;0.5953011301443052;3;8;26;0.7236505563001076;0.6404951180938705;COMPLETE
304;0.6031976663560175;3;8;25;0.7073338572204371;0.5991774083290576;COMPLETE
305;0.6005286586783396;3;8;24;0.7043732589235221;0.6037137946575387;COMPLETE
306;0.5989354339216216;3;8;27;0.6904350649755697;0.6037039222707652;COMPLETE
307;0.5114091147299821;3;8;25;0.706942819334978;0.8276239139427524;COMPLETE
308;0.5990864758925886;3;8;26;0.7222137267659268;0.6377191551831048;COMPLETE
309;0.6004337918882983;3;8;25;0.6984893533766913;0.5851084203834043;COMPLETE
310;0.6027584375526089;3;8;25;0.7104623670079209;0.6017703195189563;COMPLETE
311;0.6005286586783396;3;8;24;0.709672574171273;0.6374426498390108;COMPLETE
312;0.5949952744256543;3;8;26;0.6820421796949816;0.6039904311161702;COMPLETE
313;0.5261734377341962;3;8;25;0.7211576110045625;1.1951953228935674;COMPLETE
314;0.5724988380000517;3;7;26;0.6981643731584929;0.5516828450612429;COMPLETE
315;0.5848743813051911;3;8;33;0.7072472172813262;0.5818443863511401;COMPLETE
316;0.590168070795805;3;8;24;0.7243840297025751;0.6075944276883058;COMPLETE
317;0.602325518957684;3;8;25;0.7097219366150962;0.5697136268281485;COMPLETE
318;0.4332958040891072;2;8;24;0.7177063281125753;0.64221299799338;COMPLETE
319;0.47482956508068186;3;8;28;0.6893834254022547;0.86899535838323;COMPLETE
320;0.5962294279681843;3;8;26;0.700360733238983;0.6129110276390616;COMPLETE
321;0.4597578681349551;4;8;25;0.7263560426202537;0.5865575366769495;COMPLETE
322;0.5991880233628449;3;8;27;0.709469656706291;0.5419120971811706;COMPLETE
323;0.6027584375526089;3;8;25;0.7170288117929828;0.6062770271094022;COMPLETE
324;0.5822370045759275;3;8;24;0.726157396500964;0.6304750473994205;COMPLETE
325;0.5974860543371566;3;8;26;0.8738097263334806;0.606582926498965;COMPLETE
326;0.5983777489994545;3;8;25;0.7188997989765895;0.6277043758050106;COMPLETE
327;0.5981457821403064;3;8;25;0.6952607728864278;0.652393618441107;COMPLETE
