dia;condicao;banda_nm;genotipo_a;genotipo_b;diferenca_media;q_tukey;q_critico_tukey;significativo_tukey;F_anova;p_anova
D02;IRRIG;558;BR16;CD202;-0.12074555375650942;11.748124575915279;3.3683924527252396;True;34.92746402339247;4.849701685928455e-12
D02;IRRIG;559;BR16;CD202;-0.1196645495190174;11.63421020380965;3.3683924527252396;True;34.19622498063897;7.377133504201957e-12
D02;IRRIG;560;BR16;CD202;-0.11852072327000229;11.514330681592485;3.3683924527252396;True;33.43495344605782;1.1463164730125782e-11
D02;IRRIG;561;BR16;CD202;-0.11729189072013324;11.382135121247542;3.3683924527252396;True;32.612798650239746;1.85390946058256e-11
D02;IRRIG;562;BR16;CD202;-0.11593427341787077;11.233888315958557;3.3683924527252396;True;31.715275702139316;3.1514020737411926e-11
D02;IRRIG;563;BR16;CD202;-0.11444608874593354;11.072319496024493;3.3683924527252396;True;30.763029807250703;5.570275150036071e-11
D02;IRRIG;564;BR16;CD202;-0.11281981482031678;10.900038392773064;3.3683924527252396;True;29.773456285046016;1.0143736785077874e-10
D02;IRRIG;565;BR16;CD202;-0.11103657719044246;10.714787037491849;3.3683924527252396;True;28.737860689421307;1.9154372391846803e-10
D02;IRRIG;566;BR16;CD202;-0.10913181999114108;10.517093719425532;3.3683924527252396;True;27.664629698997093;3.7360234290609137e-10
D02;IRRIG;567;BR16;CD202;-0.10716172342342745;10.314514991336562;3.3683924527252396;True;26.598138741619113;7.326869913880348e-10
D02;IRRIG;568;BR16;CD202;-0.10510048282829865;10.106247246456734;3.3683924527252396;True;25.537188851232465;1.4460160729601043e-09
D02;IRRIG;569;BR16;CD202;-0.1030025344576122;9.898306274299642;3.3683924527252396;True;24.514751044488726;2.8109547609626494e-09
D02;IRRIG;570;BR16;CD202;-0.10087351601291972;9.689693843726632;3.3683924527252396;True;23.527391270670837;5.3901733538020054e-09
D02;IRRIG;571;BR16;CD202;-0.09870242930129902;9.474716339829948;3.3683924527252396;True;22.548113468924523;1.0375351176809328e-08
D02;IRRIG;572;BR16;CD202;-0.09657533618568759;9.2626805230857;3.3683924527252396;True;21.619530503246455;1.947290605931611e-08
D02;IRRIG;573;BR16;CD202;-0.09451249425525288;9.056712200688684;3.3683924527252396;True;20.753242845345536;3.530995029884962e-08
D02;IRRIG;574;BR16;CD202;-0.09249316624128623;8.855606794852028;3.3683924527252396;True;19.93692563034866;6.230448230059438e-08
D02;IRRIG;575;BR16;CD202;-0.09054847724240611;8.663329661337997;3.3683924527252396;True;19.18529827059437;1.0575285711521026e-07
D02;IRRIG;576;BR16;CD202;-0.0887234725137731;8.482476977964415;3.3683924527252396;True;18.50441462562465;1.716799992262629e-07
D02;IRRIG;577;BR16;CD202;-0.08703009478147306;8.313970850042661;3.3683924527252396;True;17.892136355524936;2.665848879132506e-07
D02;IRRIG;578;BR16;CD202;-0.0854093152844122;8.153358828054964;3.3683924527252396;True;17.330081958950757;4.0075699644554537e-07
D02;IRRIG;579;BR16;CD202;-0.08387490141520959;8.00352195059986;3.3683924527252396;True;16.83009599971571;5.776842189085817e-07
