dia;celula_a;celula_b;tipo;regiao;bandas;bandas_sig;r_mediano;prop_sig
D04;BR16|IRRIG;CD202|NIRRIG;cruzado;red edge;80;46;0.3266244784112981;0.575
D04;BR16|IRRIG;EMB48|IRRIG;genotipo;NIR;570;0;0.07175348879612016;0.0
D04;BR16|IRRIG;EMB48|IRRIG;genotipo;SWIR1;450;63;0.11379908517212721;0.14
D04;BR16|IRRIG;EMB48|IRRIG;genotipo;SWIR2;651;220;0.08685094232109565;0.3379416282642089
D04;BR16|IRRIG;EMB48|IRRIG;genotipo;VIS;300;72;0.05470797675179297;0.24
D04;BR16|IRRIG;EMB48|IRRIG;genotipo;red edge;80;49;0.2948061892618873;0.6125
D04;BR16|IRRIG;EMB48|NIRRIG;cruzado;NIR;570;190;0.133198501260671;0.3333333333333333
D04;BR16|IRRIG;EMB48|NIRRIG;cruzado;SWIR1;450;179;0.11728935668596563;0.3977777777777778
D04;BR16|IRRIG;EMB48|NIRRIG;cruzado;SWIR2;651;254;0.12629912733796714;0.3901689708141321
D04;BR16|IRRIG;EMB48|NIRRIG;cruzado;VIS;300;230;0.2914782559579949;0.7666666666666667
D04;BR16|IRRIG;EMB48|NIRRIG;cruzado;red edge;80;51;0.43344302055574846;0.6375
D04;BR16|NIRRIG;CD202|IRRIG;cruzado;NIR;570;570;0.21607215743809033;1.0
D04;BR16|NIRRIG;CD202|IRRIG;cruzado;SWIR1;450;244;0.19334480804565407;0.5422222222222223
D04;BR16|NIRRIG;CD202|IRRIG;cruzado;SWIR2;651;621;0.34659207823465277;0.9539170506912442
D04;BR16|NIRRIG;CD202|IRRIG;cruzado;VIS;300;300;0.4001636875168239;1.0
D04;BR16|NIRRIG;CD202|IRRIG;cruzado;red edge;80;80;0.45381646590396807;1.0
D04;BR16|NIRRIG;CD202|NIRRIG;genotipo;NIR;570;15;0.05438330033190102;0.02631578947368421
D04;BR16|NIRRIG;CD202|NIRRIG;genotipo;SWIR1;450;138;0.1288965386971027;0.30666666666666664
D04;BR16|NIRRIG;CD202|NIRRIG;genotipo;SWIR2;651;157;0.05714304990098257;0.2411674347158218
D04;BR16|NIRRIG;CD202|NIRRIG;genotipo;VIS;300;76;0.05064952150314364;0.25333333333333335
D04;BR16|NIRRIG;CD202|NIRRIG;genotipo;red edge;80;54;0.3258127873615682;0.675
D04;BR16|NIRRIG;EMB48|IRRIG;cruzado;NIR;570;280;0.15714338722770205;0.49122807017543857
D04;BR16|NIRRIG;EMB48|IRRIG;cruzado;SWIR1;450;177;0.062013196199361756;0.3933333333333333
D04;BR16|NIRRIG;EMB48|IRRIG;cruzado;SWIR2;651;320;0.15779274006748598;0.4915514592933948
D04;BR16|NIRRIG;EMB48|IRRIG;cruzado;VIS;300;117;0.12508159076337236;0.39
D04;BR16|NIRRIG;EMB48|IRRIG;cruzado;red edge;80;58;0.18660777233289622;0.725
D04;BR16|NIRRIG;EMB48|NIRRIG;genotipo;NIR;570;0;0.04196442727103407;0.0
D04;BR16|NIRRIG;EMB48|NIRRIG;genotipo;SWIR1;450;198;0.14651023447624084;0.44
D04;BR16|NIRRIG;EMB48|NIRRIG;genotipo;SWIR2;651;281;0.13457837604521178;0.43164362519201227
D04;BR16|NIRRIG;EMB48|NIRRIG;genotipo;VIS;300;111;0.06688334249774096;0.37
D04;BR16|NIRRIG;EMB48|NIRRIG;genotipo;red edge;80;58;0.436040431914884;0.725
D04;CD202|IRRIG;CD202|NIRRIG;estresse;NIR;570;570;0.2831990072507502;1.0
D04;CD202|IRRIG;CD202|NIRRIG;estresse;SWIR1;450;398;0.2599034741235031;0.8844444444444445
