dia;banda_nm;genotipo_a;condicao_a;genotipo_b;condicao_b;diferenca_media;q_tukey;q_critico_tukey;significativo_tukey;F_anova;p_anova
D02;528;BR16;IRRIG;CD202;NIRRIG;-0.031775090137087236;2.6863791099301433;4.0724590126981886;False;17.831826001165798;2.001831441040308e-14
D02;529;BR16;IRRIG;CD202;NIRRIG;-0.03382513003154841;2.8561787679546646;4.0724590126981886;False;18.752473531018413;4.493789155234387e-15
D02;530;BR16;IRRIG;CD202;NIRRIG;-0.035586261662463814;3.0004654842704337;4.0724590126981886;False;19.587331987014835;1.1818644444754107e-15
D02;531;BR16;IRRIG;CD202;NIRRIG;-0.03696592394923681;3.1123633158897643;4.0724590126981886;False;20.320000954115514;3.7144928414673657e-16
D02;532;BR16;IRRIG;CD202;NIRRIG;-0.03804076752729957;3.198261340016905;4.0724590126981886;False;20.951479369509492;1.3846801739530758e-16
D02;533;BR16;IRRIG;CD202;NIRRIG;-0.03893580444412614;3.268354383100979;4.0724590126981886;False;21.492043023244765;5.996434321158058e-17
D02;534;BR16;IRRIG;CD202;NIRRIG;-0.039747483055501576;3.3306404244601917;4.0724590126981886;False;21.964889580411544;2.90066620215454e-17
D02;535;BR16;IRRIG;CD202;NIRRIG;-0.04039933104407001;3.3797280001802377;4.0724590126981886;False;22.369284515960054;1.5653461523733084e-17
D02;536;BR16;IRRIG;CD202;NIRRIG;-0.040951448121166134;3.4207888887417366;4.0724590126981886;False;22.712452919531696;9.302614561941619e-18
D02;537;BR16;IRRIG;CD202;NIRRIG;-0.04147182250022352;3.459371788868366;4.0724590126981886;False;23.009517401247855;5.942028251565573e-18
D02;538;BR16;IRRIG;CD202;NIRRIG;-0.04187863641015843;3.4883932503370025;4.0724590126981886;False;23.254579133138968;4.111647494691162e-18
D02;539;BR16;IRRIG;CD202;NIRRIG;-0.042164433352603226;3.5073979516910554;4.0724590126981886;False;23.44691039177693;3.082695962250869e-18
D02;540;BR16;IRRIG;CD202;NIRRIG;-0.04235447992604047;3.519304322078452;4.0724590126981886;False;23.604855279707582;2.4349284700425765e-18
D02;541;BR16;IRRIG;CD202;NIRRIG;-0.04248342156300833;3.527255872247947;4.0724590126981886;False;23.752167808368867;1.955069289378594e-18
D02;542;BR16;IRRIG;CD202;NIRRIG;-0.04259065683066754;3.533216295595474;4.0724590126981886;False;23.886985303805595;1.5999718762905424e-18
D02;543;BR16;IRRIG;CD202;NIRRIG;-0.04269091684220361;3.539021505154419;4.0724590126981886;False;24.023671750075483;1.3062892965905566e-18
D02;544;BR16;IRRIG;CD202;NIRRIG;-0.04283177906574398;3.5485146892032655;4.0724590126981886;False;24.17275464218182;1.0475837913274242e-18
D02;545;BR16;IRRIG;CD202;NIRRIG;-0.04301390420479834;3.5611769657158665;4.0724590126981886;False;24.33588616527378;8.232955871867915e-19
D02;546;BR16;IRRIG;CD202;NIRRIG;-0.04317326961461321;3.5715166972374885;4.0724590126981886;False;24.502090831758395;6.444944258837597e-19
D02;547;BR16;IRRIG;CD202;NIRRIG;-0.04333513367650954;3.5820763294375455;4.0724590126981886;False;24.66862349760931;5.04594199331608e-19
D02;548;BR16;IRRIG;CD202;NIRRIG;-0.04347313729912772;3.5908804685299325;4.0724590126981886;False;24.81967976274203;4.0436573079955684e-19
D02;549;BR16;IRRIG;CD202;NIRRIG;-0.04347633581255095;3.5883732017649224;4.0724590126981886;False;24.915376733195775;3.515313911553224e-19
D02;550;BR16;IRRIG;CD202;NIRRIG;-0.043386306369145755;3.5787744050994386;4.0724590126981886;False;24.97555718588674;3.219347372992839e-19
D02;551;BR16;IRRIG;CD202;NIRRIG;-0.043240390463821665;3.5652212751149515;4.0724590126981886;False;25.00022259262791;3.105438028483699e-19
D02;552;BR16;IRRIG;CD202;NIRRIG;-0.0430045914497974;3.5443280689321313;4.0724590126981886;False;24.96094883831164;3.2887926709695506e-19
D02;553;BR16;IRRIG;CD202;NIRRIG;-0.04263787736197289;3.5132056140779704;4.0724590126981886;False;24.844336942309017;3.9002963368789904e-19
