dia;genotipo;banda_nm;n_irrig;n_nirrig;H;p_valor;q_fdr;epsilon2;delta_cliff;significativa
D02;BR16;532;32;32;0.07211538461538462;0.7882813208580621;0.9170533120135482;0.0;0.0390625;False
D02;BR16;533;32;32;0.07211538461538462;0.7882813208580621;0.9170533120135482;0.0;0.0390625;False
D02;BR16;534;32;32;0.03533653846153846;0.8508922083102392;0.9453845716382993;0.0;0.02734375;False
D02;BR16;535;32;32;0.025961538461538463;0.8719942835202923;0.9584460211683384;0.0;0.0234375;False
D02;BR16;536;32;32;0.008834134615384615;0.9251170390746953;0.9745326384911146;0.0;0.013671875;False
D02;BR16;537;32;32;0.0028846153846153848;0.9571673184928212;0.9860121397432327;0.0;0.0078125;False
D02;BR16;538;32;32;0.0;1.0;1.0;0.0;0.0;False
D02;BR16;539;32;32;0.0007211538461538462;0.9785759374725584;0.9946213938260853;0.0;-0.00390625;False
D02;BR16;540;32;32;0.006490384615384616;0.9357895532190473;0.9792369253327888;0.0;-0.01171875;False
D02;BR16;541;32;32;0.011538461538461539;0.9144579851508905;0.9745326384911146;0.0;-0.015625;False
D02;BR16;542;32;32;0.025961538461538463;0.8719942835202923;0.9584460211683384;0.0;-0.0234375;False
D02;BR16;543;32;32;0.04056490384615385;0.8403801010875871;0.9393022274281423;0.0;-0.029296875;False
D02;BR16;544;32;32;0.05841346153846154;0.8090213318881005;0.9254337711670353;0.0;-0.03515625;False
D02;BR16;545;32;32;0.07950721153846155;0.7779663362156717;0.9143890862913138;0.0;-0.041015625;False
D02;BR16;546;32;32;0.11268028846153846;0.7371130586635528;0.8982881065472055;0.0;-0.048828125;False
D02;BR16;547;32;32;0.13143028846153848;0.7169536520615256;0.8922766628508428;0.0;-0.052734375;False
D02;BR16;548;32;32;0.14134615384615384;0.7069464038541696;0.8868177824494813;0.0;-0.0546875;False
D02;BR16;549;32;32;0.14134615384615384;0.7069464038541696;0.8868177824494813;0.0;-0.0546875;False
D02;BR16;550;32;32;0.20841346153846155;0.6480137685345133;0.8619171460857892;0.0;-0.06640625;False
D02;BR16;551;32;32;0.2208533653846154;0.6383904646698126;0.8608407909518643;0.0;-0.068359375;False
D02;BR16;552;32;32;0.24681490384615387;0.6193267848636888;0.8468261571702838;0.0;-0.072265625;False
D02;BR16;553;32;32;0.20841346153846155;0.6480137685345133;0.8619171460857892;0.0;-0.06640625;False
D02;BR16;554;32;32;0.19633413461538463;0.6576962416751728;0.8691591441209919;0.0;-0.064453125;False
D02;BR16;555;32;32;0.15162259615384616;0.6969895449569337;0.882423183152266;0.0;-0.056640625;False
D02;BR16;556;32;32;0.12187500000000001;0.727009731456113;0.8928724306685556;0.0;-0.05078125;False
D02;BR16;557;32;32;0.12187500000000001;0.727009731456113;0.8928724306685556;0.0;-0.05078125;False
D02;BR16;558;32;32;0.06508413461538462;0.7986335655300558;0.9228154607899406;0.0;-0.037109375;False
D02;BR16;559;32;32;0.04056490384615385;0.8403801010875871;0.9393022274281423;0.0;-0.029296875;False
D02;BR16;560;32;32;0.0028846153846153848;0.9571673184928212;0.9860121397432327;0.0;-0.0078125;False
D02;BR16;561;32;32;0.00018028846153846155;0.9892870031229711;0.9946213938260853;0.0;0.001953125;False
D02;BR16;562;32;32;0.004507211538461539;0.946473618223126;0.9828948815066489;0.0;0.009765625;False
D02;BR16;563;32;32;0.05210336538461539;0.8194428627949356;0.9311231643171263;0.0;0.033203125;False
D02;BR16;564;32;32;0.10384615384615385;0.7472620257953904;0.8994333420811887;0.0;0.046875;False
D02;BR16;565;32;32;0.12187500000000001;0.727009731456113;0.8928724306685556;0.0;0.05078125;False
D02;BR16;566;32;32;0.23365384615384616;0.6288276926865307;0.8563914991368357;0.0;0.0703125;False
D02;BR16;567;32;32;0.2208533653846154;0.6383904646698126;0.8608407909518643;0.0;0.068359375;False
D02;BR16;568;32;32;0.20841346153846155;0.6480137685345133;0.8619171460857892;0.0;0.06640625;False
D02;BR16;569;32;32;0.15162259615384616;0.6969895449569337;0.882423183152266;0.0;0.056640625;False
D02;BR16;570;32;32;0.09537259615384616;0.7574550012076919;0.9074417099748692;0.0;0.044921875;False
D02;BR16;571;32;32;0.05841346153846154;0.8090213318881005;0.9254337711670353;0.0;0.03515625;False
D02;BR16;572;32;32;0.04056490384615385;0.8403801010875871;0.9393022274281423;0.0;0.029296875;False
