grupo;banda_nm;n_unidades;n_dias;via;p_shapiro_residuo;F_anova_mr;epsilon_gg;p_anova_mr;p_anova_mr_gg;eta2_parcial;chi2_friedman;p_friedman;w_kendall;p_tempo;efeito_tempo;q_tempo;significativa
todas;1106;24;7;anova_mr;0.08479907137640436;10.391883671036299;0.6797545075452737;1.7252998263044113e-09;4.349437272048236e-07;0.3112098668470772;;;;4.349437272048236e-07;0.3112098668470772;3.38262118091469e-06;True
todas;1107;24;7;anova_mr;0.08143901009782845;10.420295108963455;0.6790089404068025;1.6328139425894687e-09;4.2417130735815046e-07;0.3117954247558002;;;;4.2417130735815046e-07;0.3117954247558002;3.38262118091469e-06;True
todas;1108;24;7;anova_mr;0.07876070277959307;10.437360962493011;0.6780605189626739;1.5796896886852186e-09;4.2151609965089936e-07;0.3121466725260015;;;;4.2151609965089936e-07;0.3121466725260015;3.38262118091469e-06;True
todas;1109;24;7;anova_mr;0.07710317450879468;10.448632356730567;0.6768020099723694;1.545565708274861e-09;4.2444885143447e-07;0.3123784627513502;;;;4.2444885143447e-07;0.3123784627513502;3.38262118091469e-06;True
todas;1110;24;7;anova_mr;0.07604579248735087;10.456937905944532;0.6751621329615012;1.5208991138625113e-09;4.3198741815355463e-07;0.3125491620106266;;;;4.3198741815355463e-07;0.3125491620106266;3.38262118091469e-06;True
todas;1111;24;7;anova_mr;0.07477479914688;10.462819801467647;0.6734124941775733;1.5036719019129044e-09;4.419475054661767e-07;0.3126699980319279;;;;4.419475054661767e-07;0.3126699980319279;3.38262118091469e-06;True
todas;1112;24;7;anova_mr;0.07378900008826904;10.474061570271672;0.6717089982245104;1.4712939606395052e-09;4.486001303098577e-07;0.3129008276537823;;;;4.486001303098577e-07;0.3129008276537823;3.38262118091469e-06;True
todas;1113;24;7;anova_mr;0.0724428575835932;10.497114055010384;0.6700585115873111;1.407089368389975e-09;4.4793447115150935e-07;0.31337368460374154;;;;4.4793447115150935e-07;0.31337368460374154;3.38262118091469e-06;True
todas;1114;24;7;anova_mr;0.07043715108789053;10.527277202154293;0.6685520755024593;1.3273420601458406e-09;4.4205719977942016e-07;0.3139914147719059;;;;4.4205719977942016e-07;0.3139914147719059;3.38262118091469e-06;True
todas;1115;24;7;anova_mr;0.06804998228839841;10.557707941773915;0.6668989175701571;1.2515198751908455e-09;4.3732519379865523e-07;0.31461349982819525;;;;4.3732519379865523e-07;0.31461349982819525;3.38262118091469e-06;True
todas;1116;24;7;anova_mr;0.06488979459393356;10.584549492544266;0.6649398803989749;1.1882861106712046e-09;4.3713786259881077e-07;0.31516127661304566;;;;4.3713786259881077e-07;0.31516127661304566;3.38262118091469e-06;True
todas;1117;24;7;anova_mr;0.06146898917605272;10.598378982285496;0.662645996938916;1.156978898448879e-09;4.4716441730735546e-07;0.3154431643227019;;;;4.4716441730735546e-07;0.3154431643227019;3.38262118091469e-06;True
todas;1118;24;7;anova_mr;0.05787057914649448;10.591025852516045;0.6600032254668835;1.1735195349951506e-09;4.73141263420062e-07;0.3152933137266111;;;;4.73141263420062e-07;0.3152933137266111;3.38262118091469e-06;True
todas;1119;24;7;anova_mr;0.05431741527037928;10.58412606727601;0.6570270241125712;1.1892580776471046e-09;5.032687692595162e-07;0.31515264223561446;;;;5.032687692595162e-07;0.31515264223561446;3.438698090963182e-06;True
todas;1120;24;7;anova_mr;0.050710886158758565;10.582708408714568;0.6538433700510191;1.1925181561720776e-09;5.334776482524023e-07;0.31512373212782324;;;;5.334776482524023e-07;0.31512373212782324;3.4711737139137505e-06;True
todas;1121;24;7;friedman;0.04708564757676727;;;;;;49.482142857142776;5.9699045719520525e-09;0.3436259920634915;5.9699045719520525e-09;0.3436259920634915;1.1058242924729837e-08;True
todas;1122;24;7;friedman;0.04327845934515405;;;;;;49.714285714285666;5.363646854816389e-09;0.3452380952380949;5.363646854816389e-09;0.3452380952380949;1.0254030751854861e-08;True
todas;1123;24;7;friedman;0.03905353868169158;;;;;;50.14285714285711;4.401037229369635e-09;0.3482142857142855;4.401037229369635e-09;0.3482142857142855;9.414813835656082e-09;True
todas;1124;24;7;friedman;0.034772604702159864;;;;;;51.0;2.9619004426650405e-09;0.3541666666666667;2.9619004426650405e-09;0.3541666666666667;7.327885178219736e-09;True
todas;1125;24;7;friedman;0.0308198514767978;;;;;;49.321428571428555;6.4291624696863424e-09;0.34250992063492053;6.4291624696863424e-09;0.34250992063492053;1.1406578575249962e-08;True
todas;1126;24;7;friedman;0.026763689603438355;;;;;;49.321428571428555;6.4291624696863424e-09;0.34250992063492053;6.4291624696863424e-09;0.34250992063492053;1.1406578575249962e-08;True
todas;1127;24;7;friedman;0.02326618272023957;;;;;;48.89285714285711;7.833301351732289e-09;0.33953373015872995;7.833301351732289e-09;0.33953373015872995;1.2845895565340794e-08;True
todas;1128;24;7;friedman;0.020098307399234874;;;;;;50.071428571428555;4.548588484130837e-09;0.34771825396825384;4.548588484130837e-09;0.34771825396825384;9.519900494067621e-09;True
todas;1129;24;7;friedman;0.017240210545377773;;;;;;50.214285714285666;4.258256465428252e-09;0.3487103174603171;4.258256465428252e-09;0.3487103174603171;9.414813835656082e-09;True
todas;1130;24;7;friedman;0.014500962417191211;;;;;;50.214285714285666;4.258256465428252e-09;0.3487103174603171;4.258256465428252e-09;0.3487103174603171;9.414813835656082e-09;True
todas;1131;24;7;friedman;0.012323703941392245;;;;;;49.78571428571422;5.189753751306812e-09;0.34573412698412653;5.189753751306812e-09;0.34573412698412653;1.0028848465363163e-08;True
todas;1132;24;7;friedman;0.010646694042158582;;;;;;49.982142857142776;4.739978427815487e-09;0.34709821428571375;4.739978427815487e-09;0.34709821428571375;9.519900494067621e-09;True
todas;1133;24;7;friedman;0.009291160018076271;;;;;;49.982142857142776;4.739978427815487e-09;0.34709821428571375;4.739978427815487e-09;0.34709821428571375;9.519900494067621e-09;True
todas;1134;24;7;friedman;0.008263795913434227;;;;;;49.982142857142776;4.739978427815487e-09;0.34709821428571375;4.739978427815487e-09;0.34709821428571375;9.519900494067621e-09;True
todas;1135;24;7;friedman;0.007430419479648485;;;;;;48.928571428571445;7.705449158606224e-09;0.33978174603174616;7.705449158606224e-09;0.33978174603174616;1.2665278502076897e-08;True
todas;1136;24;7;friedman;0.006740047355095235;;;;;;50.01785714285711;4.6624778728191536e-09;0.34734623015872995;4.6624778728191536e-09;0.34734623015872995;9.519900494067621e-09;True
todas;1137;24;7;friedman;0.006069462635328179;;;;;;50.214285714285666;4.258256465428252e-09;0.3487103174603171;4.258256465428252e-09;0.3487103174603171;9.414813835656082e-09;True
todas;1138;24;7;friedman;0.005411743801666174;;;;;;50.321428571428555;4.052695177964093e-09;0.34945436507936495;4.052695177964093e-09;0.34945436507936495;9.228270867020149e-09;True
todas;1139;24;7;friedman;0.004780838214775178;;;;;;50.321428571428555;4.052695177964093e-09;0.34945436507936495;4.052695177964093e-09;0.34945436507936495;9.228270867020149e-09;True
todas;1140;24;7;friedman;0.00415567597013801;;;;;;48.928571428571445;7.705449158606224e-09;0.33978174603174616;7.705449158606224e-09;0.33978174603174616;1.2665278502076897e-08;True
todas;1141;24;7;friedman;0.003546141796485933;;;;;;49.39285714285711;6.220855391165361e-09;0.34300595238095216;6.220855391165361e-09;0.34300595238095216;1.1232100011826347e-08;True
todas;1142;24;7;friedman;0.003069373269330975;;;;;;48.839285714285666;8.02905344290212e-09;0.339161706349206;8.02905344290212e-09;0.339161706349206;1.2920083923270647e-08;True
todas;1143;24;7;friedman;0.0026818444198679595;;;;;;48.839285714285666;8.02905344290212e-09;0.339161706349206;8.02905344290212e-09;0.339161706349206;1.2920083923270647e-08;True
todas;1144;24;7;friedman;0.0023877232135380974;;;;;;46.589285714285666;2.2593908991728963e-08;0.323536706349206;2.2593908991728963e-08;0.323536706349206;3.082947505550803e-08;True
todas;1145;24;7;friedman;0.0021767850721919955;;;;;;45.39285714285711;3.9099827938437736e-08;0.31522817460317437;3.9099827938437736e-08;0.31522817460317437;5.055402708134354e-08;True
todas;1146;24;7;friedman;0.001982860933757795;;;;;;45.39285714285711;3.9099827938437736e-08;0.31522817460317437;3.9099827938437736e-08;0.31522817460317437;5.055402708134354e-08;True
todas;1147;24;7;friedman;0.0018508337677529667;;;;;;46.0;2.9605522737459948e-08;0.3194444444444444;2.9605522737459948e-08;0.3194444444444444;3.949244171135049e-08;True
todas;1148;24;7;friedman;0.001765046595713327;;;;;;44.66071428571422;5.465866845625321e-08;0.31014384920634874;5.465866845625321e-08;0.31014384920634874;6.749731942352512e-08;True
todas;1149;24;7;friedman;0.0017166746699801057;;;;;;45.14285714285711;4.3840538824324504e-08;0.31349206349206327;4.3840538824324504e-08;0.31349206349206327;5.6276454684725354e-08;True
todas;1150;24;7;friedman;0.0017295648627415974;;;;;;45.14285714285711;4.3840538824324504e-08;0.31349206349206327;4.3840538824324504e-08;0.31349206349206327;5.6276454684725354e-08;True
todas;1151;24;7;friedman;0.001787283640918395;;;;;;45.66071428571422;3.458573930190787e-08;0.3170882936507932;3.458573930190787e-08;0.3170882936507932;4.5541074771388817e-08;True
todas;1152;24;7;friedman;0.001855368050685293;;;;;;45.51785714285711;3.692455725631045e-08;0.31609623015872995;3.692455725631045e-08;0.31609623015872995;4.791480660301629e-08;True
todas;1153;24;7;friedman;0.001925906471040378;;;;;;45.89285714285711;3.10957402042487e-08;0.3187003968253966;3.10957402042487e-08;0.3187003968253966;4.140308053265888e-08;True
todas;1154;24;7;friedman;0.0019883188350025265;;;;;;44.821428571428555;5.078570446183709e-08;0.31125992063492053;5.078570446183709e-08;0.31125992063492053;6.426863484993543e-08;True
todas;1155;24;7;friedman;0.002031327362497877;;;;;;44.428571428571445;6.077767592691207e-08;0.30853174603174616;6.077767592691207e-08;0.30853174603174616;7.415706192447462e-08;True
todas;1156;24;7;friedman;0.0021124715915468127;;;;;;43.875;7.826212573676055e-08;0.3046875;7.826212573676055e-08;0.3046875;9.35742807722137e-08;True
todas;1157;24;7;friedman;0.0022257981258027174;;;;;;44.01785714285711;7.332061965481863e-08;0.30567956349206327;7.332061965481863e-08;0.30567956349206327;8.796013935099886e-08;True
todas;1158;24;7;friedman;0.0023374536393644713;;;;;;44.01785714285711;7.332061965481863e-08;0.30567956349206327;7.332061965481863e-08;0.30567956349206327;8.796013935099886e-08;True
