seed;fold;dia;classe_real_nirrig;classe_predita_nirrig;score_plsda
42;3;D02;0;0;0.4345910842214288
42;3;D02;0;1;0.5701717231083492
42;3;D02;1;1;0.9138006946829016
42;3;D02;1;0;0.4038149195773969
42;3;D02;1;0;0.3934147881473784
42;3;D02;0;1;0.500659642534613
42;3;D02;1;1;0.5616645975844095
42;3;D02;1;0;0.49679239754328003
42;3;D02;0;0;0.44429037852461906
42;3;D02;0;0;0.45009049247785843
42;3;D03;0;0;0.43011200015279294
42;3;D03;0;0;0.42215114290898814
42;3;D03;0;0;0.3851546749092176
42;3;D03;1;1;0.9217498607181277
42;3;D03;0;0;0.470339295844313
42;3;D03;0;0;0.4229878353384409
42;3;D03;0;0;0.3059594578864473
42;3;D03;0;0;0.29143181795921747
42;3;D03;1;1;0.6613372976824703
42;3;D03;1;1;0.9656259164566936
42;3;D03;0;0;0.29517192009616067
42;3;D03;0;0;0.25340470097999174
42;3;D03;0;0;0.15719890991303487
42;3;D03;1;1;0.658291535691182
42;3;D03;1;1;0.6791125846455943
42;3;D03;1;1;0.8842775177276302
42;3;D03;1;1;0.9257511129373007
42;3;D03;1;1;1.206054627382688
42;3;D04;0;0;-0.07852166893972057
42;3;D04;0;0;0.029718162254773417
42;3;D04;1;0;0.4638324276111263
42;3;D04;0;0;-0.03210981429579729
42;3;D04;0;0;-0.1312552090403989
42;3;D04;1;1;0.5414727813057056
42;3;D04;0;0;-0.13381608335532658
42;3;D04;0;0;-0.16578328966852962
42;3;D04;1;0;0.16645802192465636
42;3;D04;1;0;0.33599728728996475
42;3;D04;1;0;0.32617357408730735
42;3;D04;0;0;0.04476512814903988
42;3;D04;0;0;-0.06154983136371528
42;3;D04;0;0;0.41650267112270767
42;3;D04;0;0;0.34068627575351873
42;3;D04;1;0;0.4308594634702504
42;3;D05;0;1;0.7586417648881862
42;3;D05;0;1;0.7584021243989837
42;3;D05;1;1;0.7583134790792785
42;3;D05;1;1;0.7997385759888891
42;3;D05;0;0;0.19300681809546882
42;3;D05;0;0;0.19448228247846022
42;3;D05;1;1;0.8963798676099923
42;3;D05;0;0;-0.05224887729326877
42;3;D05;0;0;0.063331347943764
42;3;D05;1;1;1.0355159334292807
42;3;D05;1;1;1.1339935475043565
42;3;D05;1;1;1.1838688608963968
42;3;D05;0;0;-0.05757261014042747
42;3;D05;0;0;-0.13949751567357294
42;3;D05;0;0;-0.43609486042614765
42;3;D05;0;0;-0.4622600760585429
42;3;D05;0;0;-0.4860095786038011
42;3;D05;1;1;1.210647250146157
42;3;D05;1;1;1.2105329660788509
42;3;D06;0;0;-0.11221764126824796
42;3;D06;1;1;0.8495896337271869
42;3;D06;0;0;0.0711722951480187
42;3;D06;0;0;0.02580203151303745
42;3;D06;0;0;0.2325419508153393
42;3;D06;0;0;0.2025504610761686
42;3;D06;1;1;0.7208368302127707
42;3;D06;1;1;0.878107680552739
42;3;D06;0;0;-0.1685610890651872
42;3;D06;0;0;-0.21329306051396313
42;3;D06;1;1;0.7685592531409366
42;3;D06;1;1;0.808272649881683
42;3;D06;1;1;0.8470775257546027
42;3;D06;1;1;0.7170065784874623
42;3;D06;1;1;0.7310899806847861
42;3;D06;0;0;0.49672513718116323
42;3;D06;1;1;0.9410775000937802
42;3;D09;1;1;0.8767145711396364
42;3;D09;1;1;0.8672659563606884
42;3;D09;0;1;0.6438352616638925
42;3;D09;0;1;0.5947322704118285
42;3;D09;1;1;0.7792766670920308
42;3;D09;1;1;0.6083365078693861
42;3;D09;1;1;0.6082974750915568
42;3;D09;0;0;0.33725504954024554
42;3;D09;1;1;0.6638416928749664
42;3;D09;1;1;0.646927306534886
42;3;D09;1;1;0.6110152153550632
42;3;D09;1;1;0.5666570946034413
42;3;D09;1;1;0.8012651027722086
42;3;D10;0;0;0.19294585493348004
42;3;D10;0;0;0.18562327793791955
42;3;D10;1;1;0.7649283133538525
42;3;D10;1;1;0.6442242858623248
42;3;D10;1;1;0.6382619371765061
42;3;D10;0;1;0.5513906189757913
42;3;D10;0;1;0.7678465004250243
42;3;D10;0;1;0.7512786535061824
42;3;D10;0;1;0.7353130206458421
42;3;D10;1;1;0.7617118999776908
42;3;D10;1;1;0.6991070497189168
42;3;D10;0;0;0.12156885302393383
42;3;D10;0;0;0.11981934547122297
42;3;D10;1;1;0.6173084751417379
42;3;D10;1;1;0.6064823706582416
42;3;D10;1;1;0.623722606870202
42;3;D10;1;1;0.6181645416956432
42;3;D10;1;1;0.5678062529719126
42;4;D02;0;0;0.44505964207131254
