genotipo_avaliado;fold;nomenclaura;bloco;genotipo;condicao;data_coleta;turno;dia;classe_real;classe_predita;score_nirrig;acerto
EMB48;2;B3_EMB48_IRRIG_REPROD00005.asd;B3;EMB48;IRRIG;D06M;manha;D06;IRRIG;IRRIG;0.0;True
EMB48;2;B3_EMB48_NIRRIG_REPROD00002.asd;B3;EMB48;NIRRIG;D06M;manha;D06;NIRRIG;NIRRIG;0.99;True
EMB48;2;B4_EMB48_IRRIG_REPROD00000.asd;B4;EMB48;IRRIG;D06M;manha;D06;IRRIG;NIRRIG;0.822;False
EMB48;2;B4_EMB48_IRRIG_REPROD00004.asd;B4;EMB48;IRRIG;D06M;manha;D06;IRRIG;NIRRIG;0.818;False
EMB48;2;B4_EMB48_IRRIG_REPROD00005.asd;B4;EMB48;IRRIG;D06M;manha;D06;IRRIG;IRRIG;0.12;True
EMB48;2;B4_EMB48_NIRRIG_REPROD00004.asd;B4;EMB48;NIRRIG;D06M;manha;D06;NIRRIG;NIRRIG;1.0;True
EMB48;2;B1_EMB48_IRR_REP_RECUP00003.asd;B1;EMB48;IRRIG;D09M;manha;D09;IRRIG;IRRIG;0.0;True
EMB48;2;B1_EMB48_NIRR_REP_RECUP00000.asd;B1;EMB48;NIRRIG;D09M;manha;D09;NIRRIG;NIRRIG;1.0;True
EMB48;2;B1_EMB48_NIRR_REP_RECUP00004.asd;B1;EMB48;NIRRIG;D09M;manha;D09;NIRRIG;IRRIG;0.234;False
EMB48;2;B1_EMB48_NIRR_REP_RECUP00005.asd;B1;EMB48;NIRRIG;D09M;manha;D09;NIRRIG;NIRRIG;0.538;True
EMB48;2;B2_EMB48_IRR_REP_RECUP00000.asd;B2;EMB48;IRRIG;D09M;manha;D09;IRRIG;NIRRIG;0.892;False
EMB48;2;B2_EMB48_NIRR_REP_RECUP00003.asd;B2;EMB48;NIRRIG;D09M;manha;D09;NIRRIG;NIRRIG;1.0;True
EMB48;2;B2_EMB48_NIRR_REP_RECUP00009.asd;B2;EMB48;NIRRIG;D09M;manha;D09;NIRRIG;NIRRIG;0.966;True
EMB48;2;B3_EMB48_IRR_REP_RECUP00000.asd;B3;EMB48;IRRIG;D09M;manha;D09;IRRIG;IRRIG;0.364;True
EMB48;2;B3_EMB48_IRR_REP_RECUP00007.asd;B3;EMB48;IRRIG;D09M;manha;D09;IRRIG;IRRIG;0.0;True
EMB48;2;B3_EMB48_NIRR_REP_RECUP00007.asd;B3;EMB48;NIRRIG;D09M;manha;D09;NIRRIG;NIRRIG;0.99;True
EMB48;2;B4_EMB48_IRR_REP_RECUP00001.asd;B4;EMB48;IRRIG;D09M;manha;D09;IRRIG;IRRIG;0.164;True
EMB48;2;B4_EMB48_IRR_REP_RECUP00006.asd;B4;EMB48;IRRIG;D09M;manha;D09;IRRIG;NIRRIG;0.628;False
EMB48;2;B4_EMB48_NIRR_REP_RECUP00004.asd;B4;EMB48;NIRRIG;D09M;manha;D09;NIRRIG;NIRRIG;0.998;True
EMB48;2;B4_EMB48_NIRR_REP_RECUP00006.asd;B4;EMB48;NIRRIG;D09M;manha;D09;NIRRIG;NIRRIG;0.974;True
EMB48;2;B1_EMB48_IRR_REP_RECUP00003.asd;B1;EMB48;IRRIG;D10M;manha;D10;IRRIG;IRRIG;0.098;True
EMB48;2;B1_EMB48_NIRR_REP_RECUP00000.asd;B1;EMB48;NIRRIG;D10M;manha;D10;NIRRIG;NIRRIG;0.998;True
EMB48;2;B1_EMB48_NIRR_REP_RECUP00004.asd;B1;EMB48;NIRRIG;D10M;manha;D10;NIRRIG;NIRRIG;0.992;True
EMB48;2;B1_EMB48_NIRR_REP_RECUP00005.asd;B1;EMB48;NIRRIG;D10M;manha;D10;NIRRIG;NIRRIG;0.998;True
EMB48;2;B2_EMB48_IRR_REP_RECUP00000.asd;B2;EMB48;IRRIG;D10M;manha;D10;IRRIG;IRRIG;0.118;True
EMB48;2;B2_EMB48_NIRR_REP_RECUP00003.asd;B2;EMB48;NIRRIG;D10M;manha;D10;NIRRIG;NIRRIG;0.986;True
EMB48;2;B3_EMB48_IRR_REP_RECUP00000.asd;B3;EMB48;IRRIG;D10M;manha;D10;IRRIG;IRRIG;0.006;True
EMB48;2;B3_EMB48_IRR_REP_RECUP00007.asd;B3;EMB48;IRRIG;D10M;manha;D10;IRRIG;IRRIG;0.036;True
