dia;banda_nm;F_anova;p_anova;eta2;significativo_anova
D02;657;4.523343294718553;0.0006475665651340522;0.10841277178502445;True
D02;658;4.56106362178471;0.0006013939986033545;0.10921809039857465;True
D02;659;4.600631326029492;0.0005564885277066916;0.11006128807352854;True
D02;660;4.6443597266533185;0.0005107460838282964;0.11099129624619472;True
D02;661;4.683535427306364;0.000472964958758979;0.11182282917437025;True
D02;662;4.718242617875764;0.00044183259524363544;0.11255821626128237;True
D02;663;4.746597392779812;0.0004179243779443957;0.1131581031074724;True
D02;664;4.774587245712205;0.00039559220133092237;0.11374947459906086;True
D02;665;4.7994951674957385;0.00037672396711828447;0.1142750680301073;True
D02;666;4.811890946059952;0.000367671892336988;0.11453640475831119;True
D02;667;4.8187689872528505;0.00036274330276327973;0.11468134606025014;True
D02;668;4.817494698205545;0.00036365140729382214;0.11465449648551483;True
D02;669;4.812613463030805;0.0003671510281723495;0.1145516326249422;True
D02;670;4.800642776972917;0.00037587664514768997;0.11429926923891974;True
D02;671;4.777490977064681;0.0003933448127287017;0.11381077967892286;True
D02;672;4.7475490225065995;0.0004171448056037139;0.11317822216404927;True
D02;673;4.7121302972712265;0.0004471628315811419;0.11242879481069991;True
D02;674;4.67328158013642;0.0004825752948520517;0.11160533408858266;True
D02;675;4.62746043036876;0.0005279607524460788;0.11063211542742864;True
D02;676;4.575575350477466;0.0005845192204787594;0.10952752444677392;True
D02;677;4.522478745618267;0.0006486653197124855;0.10839429682957709;True
D02;678;4.463361512645127;0.0007283831441847083;0.10712917418558428;True
D02;679;4.403071507994879;0.0008197556512034557;0.10583525082153462;True
D02;680;4.338334736914537;0.000930629799188444;0.10444171063649116;True
D02;681;4.269972783068821;0.0010639759196899668;0.10296541079024163;True
D02;682;4.197734020029418;0.0012256183724665335;0.1014000915605292;True
D02;683;4.122662391923872;0.0014195505197939966;0.09976758885530104;True
D02;684;4.04501370011857;0.0016523105360621443;0.09807279322365559;True
D02;685;3.9663086474951275;0.0019269788616774;0.09634841640668862;True
D02;686;3.8860724518870935;0.0022537203067681225;0.09458369272063641;True
D02;687;3.813524260279291;0.002596244871989816;0.09298211575474402;True
D02;688;3.7549845881769146;0.0029099205417823537;0.09168565501697006;True
D02;689;3.7305533205922905;0.0030516989368717254;0.09114348617211185;True
D02;690;3.7760720996483514;0.0027928143828985946;0.09215310072828473;True
D02;691;3.952317721171522;0.0019803544235213358;0.09604119379011752;True
D02;692;4.348451883233714;0.0009123643948382115;0.10465978119845351;True
D02;693;5.073660537719058;0.00021998892297422085;0.12001942753909466;True
D02;694;6.246999197808787;2.2138723769923376e-05;0.14378436516103163;True
D02;695;7.970678597312685;7.915650705239094e-07;0.1764569150791301;True
D02;696;10.292785997881403;1.0012808085550333e-08;0.2167231460866615;True
D02;697;13.188479039275093;5.3414439497278964e-11;0.2617360017752349;True
D02;698;16.552181842225863;1.6580796519119934e-13;0.3079350693300237;True
D02;699;20.191869200893166;4.543422064487256e-16;0.3518245612495041;True
D02;700;23.89783896296254;1.5743892668604126e-18;0.3911404947963772;True
D02;701;27.490287937030672;8.751732487477767e-21;0.42495231994931965;True
D02;702;30.82465639335031;8.974038886292316e-23;0.45313946483033685;True
D02;703;33.818702719794665;1.7574684106832184e-24;0.47619431818160424;True
D02;704;36.435275593995684;6.426807313249826e-26;0.49480735014681826;True
D02;705;38.66533834218394;4.186074509962207e-27;0.5096574955981522;True
D02;706;40.52829302226092;4.534508164022372e-28;0.5214097910352137;True
D02;707;42.06172740187098;7.563391358034022e-29;0.5306688206353438;True
D02;708;43.30241725254469;1.8198691866609394e-29;0.5379020746259131;True
D02;709;44.277561147445795;6.029302444988534e-30;0.5434325785392489;True
D02;710;45.01780164664409;2.6290074885433717e-30;0.547543241792352;True
D02;711;45.55965009512171;1.4385664951680833e-30;0.5505055911033538;True
D02;712;45.93833755194314;9.460446190754365e-31;0.5525529966634443;True
D02;713;46.165199988295576;7.366417572459623e-31;0.5537706380453372;True
D02;714;46.245889052917235;6.740313549918145e-31;0.5542021252070356;True
D02;715;46.18732436716155;7.189114009701886e-31;0.5538890319084324;True
D02;716;45.99660882945168;8.871051474660707e-31;0.5528663905489479;True
D02;717;45.66540290515203;1.279432915916137e-30;0.5510792357749201;True
D02;718;45.18866016643134;2.1728949965115378e-30;0.548481551649788;True
