dia;genotipo;condicao_a;condicao_b;posicao;banda_nm;p_valor;q_fdr;H;epsilon2;delta_cliff;n_irrig;n_nirrig
D05;CD202;IRRIG;NIRRIG;3;1903;6.211923275036763e-12;1.7217100860946486e-10;47.261538461538464;0.7461538461538462;1.0;32;32
D05;CD202;IRRIG;NIRRIG;4;1904;6.211923275036763e-12;1.7217100860946486e-10;47.261538461538464;0.7461538461538462;1.0;32;32
D05;CD202;IRRIG;NIRRIG;5;1905;6.211923275036763e-12;1.7217100860946486e-10;47.261538461538464;0.7461538461538462;1.0;32;32
D05;EMB48;IRRIG;NIRRIG;1;400;2.7407301401734218e-11;1.0095774247855356e-09;44.35384615384616;0.6992555831265509;-0.96875;32;32
D05;EMB48;IRRIG;NIRRIG;2;401;2.7407301401734218e-11;1.0095774247855356e-09;44.35384615384616;0.6992555831265509;-0.96875;32;32
D05;EMB48;IRRIG;NIRRIG;3;402;2.7407301401734218e-11;1.0095774247855356e-09;44.35384615384616;0.6992555831265509;-0.96875;32;32
D05;EMB48;IRRIG;NIRRIG;4;403;2.7407301401734218e-11;1.0095774247855356e-09;44.35384615384616;0.6992555831265509;-0.96875;32;32
D05;EMB48;IRRIG;NIRRIG;5;404;2.7407301401734218e-11;1.0095774247855356e-09;44.35384615384616;0.6992555831265509;-0.96875;32;32
D06;BR16;IRRIG;NIRRIG;1;400;6.211923275036763e-12;1.1667266151190843e-11;47.261538461538464;0.7461538461538462;-1.0;32;32
D06;BR16;IRRIG;NIRRIG;2;401;6.211923275036763e-12;1.1667266151190843e-11;47.261538461538464;0.7461538461538462;-1.0;32;32
D06;BR16;IRRIG;NIRRIG;3;402;6.211923275036763e-12;1.1667266151190843e-11;47.261538461538464;0.7461538461538462;-1.0;32;32
D06;BR16;IRRIG;NIRRIG;4;403;6.211923275036763e-12;1.1667266151190843e-11;47.261538461538464;0.7461538461538462;-1.0;32;32
D06;BR16;IRRIG;NIRRIG;5;404;6.211923275036763e-12;1.1667266151190843e-11;47.261538461538464;0.7461538461538462;-1.0;32;32
D06;CD202;IRRIG;NIRRIG;1;400;6.211923275036763e-12;3.2173370295708084e-11;47.261538461538464;0.7461538461538462;-1.0;32;32
D06;CD202;IRRIG;NIRRIG;2;401;6.211923275036763e-12;3.2173370295708084e-11;47.261538461538464;0.7461538461538462;-1.0;32;32
