banda_nm;vip;vip_acima_de_1;iteracoes;acertos;prop_acertos;importancia_media;decisao_boruta;confirmada_boruta;q_condicao;q_tempo;significativa;criterios_atendidos
1756;1.023356278049957;True;100;6;0.06;0.0003832761270568331;rejeitada;False;1.0418288699549206e-05;2.201710446387967e-05;True;2
1766;1.0004773383470467;True;100;13;0.13;0.0005083567174978982;rejeitada;False;8.636806674383745e-07;2.201710446387967e-05;True;2
1773;0.9937568629994908;False;100;13;0.13;0.0005560175950134709;rejeitada;False;5.986385702038062e-07;2.2189315201191e-05;True;1
1777;0.9964945205122567;False;100;12;0.12;0.0005834355169490257;rejeitada;False;5.986385702038062e-07;2.2189315201191e-05;True;1
1788;1.0244734588284823;True;100;28;0.28;0.0008237792234176065;rejeitada;False;6.739597965067994e-07;2.2135626745506324e-05;True;2
1797;1.0727081428705703;True;100;44;0.44;0.0008957277170681453;tentativa;False;1.2496744125126887e-06;2.201710446387967e-05;True;2
1807;1.1306798128383075;True;100;62;0.62;0.0011901018116053106;tentativa;False;4.657844404176242e-06;2.201710446387967e-05;True;2
1823;1.2069188032882745;True;100;61;0.61;0.0012613150001890934;tentativa;False;9.75607856975628e-06;2.201710446387967e-05;True;2
1833;1.3755079511334838;True;100;98;0.98;0.004303930502122408;confirmada;True;1.5599988210658494e-08;1.5004205511541831e-05;True;3
1842;1.369946256566982;True;100;100;1.0;0.004915171094239596;confirmada;True;5.259172757416301e-09;1.2196768065604076e-05;True;3
1853;1.2940023585972718;True;100;100;1.0;0.006069072808884602;confirmada;True;3.390132856101768e-09;6.192171232793892e-06;True;3
1863;1.1686690247081495;True;100;100;1.0;0.006344216698134609;confirmada;True;1.8112853619757628e-10;3.0682377375832505e-06;True;3
1873;1.0382356558284416;True;100;100;1.0;0.0051136670455299744;confirmada;True;3.1927220237955794e-11;9.418266187084e-08;True;3
1879;0.9762527403300156;False;100;99;0.99;0.004168082999198664;confirmada;True;1.8318495417348784e-11;1.8350795458548677e-07;True;2
1884;0.9337086631166953;False;100;98;0.98;0.003746846818752847;confirmada;True;1.9868617154299785e-11;9.860569998702712e-07;True;2
1899;1.0733985158189685;True;100;74;0.74;0.0015537630345094765;confirmada;True;3.2173370295708084e-11;7.040750148592219e-09;True;3
1908;1.37224117023549;True;100;80;0.8;0.0019431161661182794;confirmada;True;3.2173370295708084e-11;1.510561498724011e-08;True;3
1920;1.6103053239392646;True;100;97;0.97;0.0036169436819820534;confirmada;True;4.2730069938787115e-11;4.5136666056912594e-07;True;3
1929;1.6881033292424383;True;100;99;0.99;0.00583997337261519;confirmada;True;3.2173370295708084e-11;5.2922496435756545e-08;True;3
1939;1.6909700505971823;True;100;100;1.0;0.014968874227336629;confirmada;True;3.2173370295708084e-11;1.2560026660496947e-08;True;3
1953;1.5912360863958028;True;100;100;1.0;0.030544380365535303;confirmada;True;8.344948915506846e-12;7.040750148592219e-09;True;3
1962;1.501340477118167;True;100;100;1.0;0.035422350750657895;confirmada;True;5.114240616992989e-12;7.040750148592219e-09;True;3
1968;1.4431294049639152;True;100;100;1.0;0.04253500985367124;confirmada;True;4.986330855368519e-12;7.040750148592219e-09;True;3
1978;1.3580643823647969;True;100;100;1.0;0.03141049046248094;confirmada;True;4.986330855368519e-12;8.81926188728132e-07;True;3
1988;1.2866021747585528;True;100;100;1.0;0.01916370470184964;confirmada;True;4.986330855368519e-12;8.81926188728132e-07;True;3
1998;1.2273042496869697;True;100;100;1.0;0.018227012274381994;confirmada;True;4.986330855368519e-12;8.81926188728132e-07;True;3
2009;1.1755263765249422;True;100;100;1.0;0.018798622386974332;confirmada;True;4.986330855368519e-12;8.81926188728132e-07;True;3
2019;1.134904210001098;True;100;100;1.0;0.018299679862895667;confirmada;True;4.986330855368519e-12;8.91509711831541e-07;True;3
2028;1.1029040429505048;True;100;100;1.0;0.020618151972490336;confirmada;True;4.986330855368519e-12;1.039578087528966e-06;True;3
2039;1.0653357815525726;True;100;100;1.0;0.020995767947410315;confirmada;True;4.986330855368519e-12;1.7685249141409531e-06;True;3
2048;1.0369533054832485;True;100;100;1.0;0.01818906186109441;confirmada;True;4.986330855368519e-12;3.19989347899042e-06;True;3
2058;1.0027052568764159;True;100;100;1.0;0.013381679878286484;confirmada;True;4.986330855368519e-12;5.914802706513442e-06;True;3
2069;0.9610651159144078;False;100;96;0.96;0.010143889385684956;confirmada;True;4.986330855368519e-12;1.0427250437129258e-05;True;2
2078;0.9289527676697378;False;100;91;0.91;0.005524690867693922;confirmada;True;4.986330855368519e-12;1.296455837150014e-05;True;2
2084;0.9081971475852263;False;100;94;0.94;0.004693957088212247;confirmada;True;5.563490526629979e-12;1.6234358049350403e-05;True;2
