grupo;banda_nm;n;W;p_valor;q_fdr;normal_p;normal_q
todas;594;1924;0.9977292365386726;0.007612191200173663;0.008906220280408548;False;False
todas;595;1924;0.9977160029287088;0.007307979047003826;0.008624088046838231;False;False
todas;596;1924;0.9977018098553314;0.006995515753348652;0.008312747862177337;False;False
todas;597;1924;0.9976909698045495;0.006766108296205899;0.008096434139742299;False;False
todas;598;1924;0.9976813902615205;0.006569794819431546;0.0078891388610387;False;False
todas;599;1924;0.9976747712258657;0.006437568739720517;0.007766737344215752;False;False
todas;600;1924;0.9976686349680589;0.006317423136066902;0.007639761115609207;False;False
todas;601;1924;0.9976597774219675;0.006148035392946992;0.007452494439086454;False;False
todas;602;1924;0.9976460321431185;0.005894342404210943;0.007174656540674566;False;False
todas;603;1924;0.9976279532750265;0.005576920604341831;0.0068018729111250864;False;False
todas;604;1924;0.997602481903601;0.005159194358574731;0.006313548704914542;False;False
todas;605;1924;0.9975677576895895;0.004640867303879061;0.005703067010339098;False;False
todas;606;1924;0.9975182411858889;0.003992623803904316;0.004933055073378164;False;False
todas;607;1924;0.9974657261403559;0.0034061543190107013;0.004231388557414263;False;False
todas;608;1924;0.9974164944698933;0.002936801087125181;0.0036795229258972184;False;False
todas;609;1924;0.9973696951388412;0.0025523011185321154;0.00323333514151289;False;False
todas;610;1924;0.9973128906782098;0.0021543420754909356;0.002758149561068607;False;False
todas;611;1924;0.9972461700118419;0.0017674612521491387;0.0022885498915138154;False;False
todas;612;1924;0.9971685850790337;0.0014063106590998205;0.0018548830622596348;False;False
todas;613;1924;0.9970777589754216;0.0010785252146905554;0.0014345364561156478;False;False
todas;614;1924;0.9969727328313196;0.000795907209859392;0.0010711323408278302;False;False
todas;615;1924;0.9968572539432142;0.0005719783875058316;0.0007779361225294832;False;False
todas;616;1924;0.9967343340910293;0.00040412402513674713;0.0005536796095894913;False;False
todas;617;1924;0.9966140885739616;0.0002889233171016429;0.0003993138297678367;False;False
todas;618;1924;0.9964951505314747;0.00020817104393192903;0.00029025072134900503;False;False
todas;619;1924;0.9963829368489657;0.00015336152206277547;0.00021692722879362243;False;False
todas;620;1924;0.9962783226629475;0.0001157149457672158;0.00016585000263351474;False;False
todas;621;1924;0.9961789179964926;8.879323270926564e-05;0.0001287031238775292;False;False
todas;622;1924;0.9960915964081386;7.052164004433012e-05;0.00010331420266494362;False;False
todas;623;1924;0.9960137384010104;5.75261883260321e-05;8.494327736262911e-05;False;False
todas;624;1924;0.9959450654638314;4.813148506657663e-05;7.148274863978904e-05;False;False
