genotipo;dia;limiar_agrupamento_abs_rho;correlacao_maxima_aceita_top;posicao;banda_nm;p_valor;q_fdr;epsilon2;delta_cliff;grupo_spearman;vip_pls_da;significativa;vip_acima_de_1;abs_delta_cliff;rho_abs_max_outro_top;distancia_min_outro_top_nm
CD202;D02;0.95;0.95;4;2450;2.7849192277653398e-06;5.888525088811042e-05;0.338053466191067;0.681640625;210;1.2268632021842218;True;True;0.681640625;0.8562728937728936;866.0
CD202;D02;0.95;0.95;5;1309;5.013420107171905e-05;0.0003416121142793;0.2490811104218362;-0.58984375;92;1.2145737970528523;True;True;0.58984375;0.9468406593406596;22.0
CD202;D03;0.8;0.8;1;1925;9.926307224638545e-12;2.4236733473492437e-10;0.7313382056451614;0.990234375;154;2.1042523361694565;True;True;0.990234375;0.7951923076923075;71.0
CD202;D03;0.8;0.8;2;1831;0.0267271087754137;0.0292514941826967;0.0630379575062034;0.322265625;145;1.8048817618725883;True;True;0.322265625;0.7769688644688646;24.0
CD202;D03;0.8;0.8;3;1372;6.299759613993148e-05;8.05034702074763e-05;0.2421022022332506;-0.58203125;98;1.5640813907790847;True;True;0.58203125;0.7342948717948716;435.0
CD202;D03;0.8;0.8;4;1807;0.0001701831413627;0.0002130925658944;0.211848635235732;0.546875;142;1.2296839547027043;True;True;0.546875;0.7769688644688646;24.0
CD202;D03;0.8;0.8;5;1996;1.3122092862393549e-11;3.0583423250874056e-10;0.7225186104218363;0.984375;161;1.217519703368474;True;True;0.984375;0.7951923076923075;71.0
CD202;D03;0.9;0.9;1;1927;7.496890411186199e-12;1.971297722223448e-10;0.7402101426799007;0.99609375;157;2.0675446818275973;True;True;0.99609375;0.8871794871794874;40.0
CD202;D03;0.9;0.9;2;1830;0.0037284701172095;0.004160550712947;0.1195409429280397;0.421875;147;1.6738066185481701;True;True;0.421875;0.8720238095238096;17.0
CD202;D03;0.9;0.9;3;1375;0.041258044757493;0.0448913792029804;0.0510545905707196;-0.296875;100;1.5892649396679457;True;True;0.296875;0.519642857142857;438.0
CD202;D03;0.9;0.9;4;1967;6.211923275036763e-12;1.7452951557671782e-10;0.7461538461538462;1.0;161;1.4843074349405603;True;True;1.0;0.8871794871794874;40.0
CD202;D03;0.9;0.9;5;1813;0.0004811081761588;0.0005777241623547;0.1804435483870967;0.5078125;145;1.2704927384392837;True;True;0.5078125;0.8720238095238096;17.0
CD202;D03;0.95;0.95;1;1920;2.282238385490765e-11;4.825640132620163e-10;0.7050364454094293;0.97265625;162;2.0133031905837324;True;True;0.97265625;0.9149725274725276;39.0
CD202;D03;0.95;0.95;2;1831;0.0267271087754137;0.0292514941826967;0.0630379575062034;0.322265625;152;1.7197427183919753;True;True;0.322265625;0.6894688644688648;89.0
CD202;D03;0.95;0.95;3;1374;0.0040606555864194;0.0045140404378028;0.1170401674937965;-0.41796875;103;1.6337102828760692;True;True;0.41796875;0.6283882783882783;457.0
CD202;D03;0.95;0.95;4;1959;6.211923275036763e-12;1.7452951557671782e-10;0.7461538461538462;1.0;166;1.578199606159844;True;True;1.0;0.9149725274725276;39.0
CD202;D03;0.95;0.95;5;742;2.327660767544184e-08;1.2972913679981308e-07;0.4870967741935484;-0.8125;39;1.1983816660074722;True;True;0.8125;0.8013736263736265;632.0
CD202;D04;0.8;0.8;1;1373;0.0027511562101905;0.0033036424983026;0.1284768532878412;-0.435546875;98;1.952848569776696;True;True;0.435546875;0.4774267399267398;440.0
